                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.051,                 4.1938,                 3.1638,                  1.205,                0.00564,                0.98148,                0.07367,                0.05157,                0.00545,                0.94577,                0.06845,                0.02738,                0.84915,                 2.0892,                 3.0736,                 1.1449,             0.00023338,             0.00023338,             0.00023338
                      2,                0.81431,                  1.924,                 1.9475,                  1.029,                0.01217,                 0.8168,                0.10122,                0.06626,                0.00701,                0.42857,                0.08435,                0.04072,                0.71167,                 2.2101,                 2.8514,                 1.0254,              0.0004595,              0.0004595,              0.0004595
                      3,                0.77718,                 1.6315,                 1.6513,                  1.009,                0.57897,                0.33929,                0.17519,                0.12911,                0.57037,                0.28374,                0.16662,                0.10676,                0.79185,                 1.6049,                 2.5584,                0.99814,             0.00066087,             0.00066087,             0.00066087
                      4,                 0.7124,                 1.4452,                 2.6689,                0.93165,                 0.2325,                0.45818,                0.21099,                0.17361,                0.22363,                 0.4046,                0.20311,                0.15229,                0.74493,                 1.4804,                 2.2448,                0.97794,             0.00083748,             0.00083748,             0.00083748
                      5,                 0.7366,                  1.591,                 1.5608,                 1.0017,                0.16292,                 0.7791,                 0.1862,                0.14664,                0.16147,                 0.7751,                0.18025,                0.13299,                0.81071,                 1.2479,                 2.6916,                  1.041,             0.00098933,             0.00098933,             0.00098933
                      6,                0.69473,                 1.5179,                 2.7502,                0.94029,                0.15063,                0.74206,                0.19453,                0.15744,                0.15319,                0.76835,                0.18636,                0.13265,                0.75136,                 1.4566,                 2.6019,                  1.068,              0.0011164,              0.0011164,              0.0011164
                      7,                0.76417,                 1.5024,                  1.526,                0.99936,                0.17768,                0.91948,                0.20821,                0.16399,                0.16829,                0.83664,                0.20318,                0.14078,                0.80976,                 1.6791,                 2.4511,                 1.0538,              0.0011719,              0.0011719,              0.0011719
                      8,                0.71557,                 1.5684,                 1.4409,                0.97031,                0.17561,                0.92725,                0.20336,                0.16413,                0.17181,                0.90939,                0.19812,                0.14585,                0.77742,                 1.2442,                 2.0418,                0.97515,              0.0011719,              0.0011719,              0.0011719
                      9,                0.71561,                 1.4044,                 1.5455,                0.97754,                0.17697,                0.89087,                0.23737,                 0.1872,                0.16635,                0.85516,                 0.2302,                0.14907,                0.81792,                  1.615,                 2.0451,                 1.0412,              0.0010894,              0.0010894,              0.0010894
                     10,                0.69639,                 1.3675,                 2.7021,                0.90628,                0.17874,                0.93911,                 0.2209,                0.18279,                0.17321,                0.89153,                0.20968,                0.15454,                 0.7536,                 1.2222,                 2.0839,                0.96791,              0.0010069,              0.0010069,              0.0010069
                     11,                0.64915,                  1.132,                 2.3626,                0.91945,                0.16832,                0.81614,                0.19969,                0.15005,                0.15382,                0.74537,                0.16881,                0.11733,                0.81276,                 1.6608,                 2.0551,                 1.0699,             0.00092435,             0.00092435,             0.00092435
                     12,                0.66411,                  1.099,                 1.6022,                0.98649,                0.18143,                0.85695,                0.20346,                0.16275,                0.17158,                0.80026,                0.19501,                0.12594,                0.74433,                 1.4465,                 2.5941,                0.98662,             0.00084184,             0.00084184,             0.00084184
                     13,                0.60864,                 1.0106,                 2.2856,                0.89726,                0.17125,                0.92725,                0.19507,                0.15997,                0.16746,                0.90939,                0.19261,                0.13415,                0.62054,                 1.1948,                 2.2102,                0.94047,             0.00075932,             0.00075932,             0.00075932
                     14,                 0.5864,                0.97539,                 2.4239,                0.88908,                0.17078,                0.92791,                0.18852,                0.15525,                0.16423,                 0.8922,                0.17014,                0.12178,                0.59899,                 1.2735,                 2.3547,                0.91897,              0.0006768,              0.0006768,              0.0006768
                     15,                0.62424,                 1.1676,                 1.4943,                0.94074,                0.16874,                0.92791,                0.17891,                0.15349,                0.16244,                0.90514,                0.16952,                0.12498,                0.56015,                  1.095,                  2.336,                0.89028,             0.00059429,             0.00059429,             0.00059429
                     16,                0.57544,                0.92922,                 1.4414,                0.93208,                0.17506,                0.92791,                 0.1838,                0.15729,                0.17326,                0.91005,                0.18121,                 0.1264,                0.57934,                 1.0702,                 2.1714,                0.93896,             0.00051177,             0.00051177,             0.00051177
                     17,                0.52601,                0.83705,                 2.3274,                0.87785,                0.17528,                0.89153,                0.19277,                 0.1593,                0.16832,                0.85818,                0.18054,                0.13881,                0.58594,                0.97412,                 2.1526,                0.92469,             0.00042925,             0.00042925,             0.00042925
                     18,                0.57766,                0.92789,                 1.3759,                0.92445,                0.17731,                0.94643,                0.18135,                 0.1516,                0.16975,                0.91071,                0.17317,                0.13175,                0.56068,                0.93658,                 2.1229,                0.91098,             0.00034674,             0.00034674,             0.00034674
                     19,                0.54196,                0.91708,                 1.3766,                0.91602,                0.17923,                0.98214,                0.18172,                0.15385,                0.17923,                0.98214,                0.17992,                0.13412,                 0.5496,                 0.9375,                 1.9986,                0.90563,             0.00026422,             0.00026422,             0.00026422
                     20,                 0.5034,                0.82845,                 1.3424,                 0.9083,                0.17934,                0.92791,                0.18421,                0.16024,                0.17934,                0.92791,                0.18221,                0.13742,                 0.5127,                0.97504,                 2.0459,                0.89756,              0.0001817,              0.0001817,              0.0001817
